"001","002","003","004","005"
"Écocentre Sutton","45.106182","-72.615191","  ","J0E 2K0"
"IGA Extra - Marché Gaouette inc.-Électrobac","45.4148427","-72.7496751","  ","J2G 8K1"
"Best Buy - Granby","45.4181008","-72.7538718"," 450-372-0883 ","J2J 2L1"
"Bureau en Gros - Granby","45.4150486","-72.7548865"," 450-776-7555 ","J2G 2Z5"
"Écocentre Granby","45.3833352","-72.775927"," 450-378-9975 ","J2J 1E9"
"RIEDSBM","45.1896517","-72.7998186"," 450-263-2351 ","J2K 3G6"
"Garage municipal de Saint-Paul-d'Abbotsford","45.437347","-72.8850644","  ","J0L 1A0"
"Garage municipal de l'Ange Gardien","45.3597729","-72.9354716","  ","J0E 1E0"
"Groupe Focus Communications","45.6196311","-72.9264259"," 450-773-0368 ","J2T 3G7"
"Écocentre Farnham","45.2881297","-72.9619713","  ","J2N 3B5"
"Salon de l'Électronique","45.6196576","-72.9572089"," 450-774-7896 ","J2S 2X2"
"Campus Ste-Hyacinthe 2 - Université de Montréal-Électrobac","45.6210097","-72.9656721","  ","J2S 6N9"
"Buropro Citation","45.6373636","-72.9683797"," 450-773-7777 ","J2S 4Z4"
"Garage municipal de St-Césaire","45.4150701","-73.0252379","  ","J0L 1P0"
"Bureau en Gros - Saint-Hyacinthe","45.6396978","-72.9778488"," 450-796-4575 ","J2R 2H6"
"NSLOne Informatique","45.648983","-73.005309"," 450-253-8324 ","J2R 1A4"
"Écocentre Bedford","45.1261818","-72.9874661","  ","J0J 1A0"
"Hôtel de ville de Rougemont","45.4440134","-73.0715418","  ","J0L 1M0"
"Garage municipal de Sainte-Angèle-de-Monnoir","45.3915938","-73.1088268","  ","J0L 1P0"
"Garage municipal de Marieville","45.4354647","-73.157091","  ","J3M 1J5"
"Garage municipal de Mont-Saint-Hilaire","45.5736047","-73.1751288"," 450-467-2854 ","J3H 6H7"
"Bureau en Gros - Beloeil","45.5925877","-73.1942049"," 450-536-2004 ","J3G 0K1"
"Écocentre de Beloeil","45.573406","-73.2018676"," 450-467-2835 ","J3G 4A8"
"Compo-Haut-Richelieu - Iberville (Citoyen)","45.30411","-73.2156"," 450-347-0299 ","J2X 5L2"
"Buropro Citation - Beloeil","45.5608698","-73.2082085"," 450-464-6464 ","J3G 4J2"
"Mail Montenach - Cominar-Électrobac","45.5628976","-73.2092329","  ","J3G 4J2"
"Metro Plus Riendeau Beloeil-Électrobac","45.57938","-73.2143876","  ","J3G 0J1"
"Dépôt municipal Saint-Charles-sur-Richelieu","45.6835785","-73.1872808"," 450-584-3484 ","J0H 2G0"
"Garage municipal de Richelieu","45.4443705","-73.2463759","  ","J3P 3P6"
"Xpert Micro","45.443731","-73.255368"," 450-658-6062 ","J3L 3W7"
"Garage municipal de St-Mathias","45.4839596","-73.2606302","  ","J3L 6C6"
"Entrepôt municipal","45.7863203","-73.1591803"," 450-787-2244 ","J0H 1K0"
"Bureau en Gros - Saint-Jean","45.3374559","-73.268441"," 450-359-7750 ","J3A 1E5"
"IGA Extra Gladu-Électrobac","45.3115473","-73.2670444","  ","J3B 5L2"
"Garage municipal de Chambly","45.4340378","-73.2745535"," 450-658-2626 ","J3L 4V2"
"Best Buy - Saint-Jean-sur-Richelieu","45.329944","-73.280654"," 450-359-9638 ","J3A 1M1"
"Carrefour Richelieu - Westcliff-Électrobac","45.3295313","-73.2808181","  ","J3A 1M1"
"Édifice Léon-Taillon","45.5080343","-73.2812431"," 450-461-8000 ","J3N 1M1"
"Supermarché Metro Plus Collin - Chambly-Électrobac","45.4465632","-73.2890493","  ","J3L 1W7"
"Belcro Électronique","45.3213879","-73.2847444"," 450-359-0113 ","J3B 7X4"
"Compo-Haut-Richelieu - St-Luc","45.321534","-73.2932159","  ","J2W 3G1"
"Ordimatique","45.3190011","-73.2955173"," 514-776-7363 ","J3B 7G2"
"Garage municipal Saint-Roch-de-Richelieu","45.8920556","-73.1641984"," 450-785-2755 ","J0L 2M0"
"STR Micro","45.5752837","-73.3273122"," 450-922-1060 ","J3E 2T6"
"Renaissance - Centre de don Sainte-Julie","45.5865542","-73.3271014"," 450-338-1158 ","J3E 1G3"
"Écocentre Saint-Bruno-de-Montarville","45.5180968","-73.3597522"," 450-645-2960 ","J3V 6B9"
"Best Buy - Saint-Bruno","45.5000612","-73.375659"," 450-461-1557 ","J3V 6H1"
"Bureau en Gros - Sorel","46.0232763","-73.1033757"," 450-743-3888 ","J3P 7R5"
"Écocentre Marguerite-D'Youville, secteur Nord","45.8457882","-73.2536994"," 450-583-3301 ","J0L 1C0"
"Bureau en Gros - Saint-Bruno","45.50947","-73.381654"," 450-441-2414 ","J3V 6J1"
"Renaissance - Centre de don Cousineau","45.4945042","-73.4063754"," 579-723-1094 ","J3Y 8X9"
"IGA Extra Supermarché Gilles Bariteau inc.-Électrobac","45.4942286","-73.4073175","  ","J3Y 8X9"
"Écocentre Grande-Allée","45.4530402","-73.4108218"," 450-463-7311 ","J4Z 3H8"
"Écocentre Marguerite-D'Youville, secteur Sud","45.649917","-73.3779263"," 450-583-3301 ","J3X 1P7"
"Bureau en Gros - Boucherville","45.572018","-73.4059513"," 450-655-0505 ","J4B 8S5"
"Écocentre Napierville","45.193937","-73.39766"," 450-245-7210 ","J0J 1L0"
"Écocentre Saint-Jacques-le-Mineur","45.2741688","-73.4200652"," 450-347-5446 ","J0J 1Z0"
"Écocentre Lanoraie","45.9546252","-73.2236865"," 450-887-1100 ","J0K 1E0"
"Garage municipal Lavaltrie","45.8784006","-73.2852871"," 450-586-2921 #2256 ","J5T 0A4"
"Bureau en Gros - Dix30","45.4390436","-73.4383637"," 450-443-8171 ","J4Y 0B3"
"Écocentre Saint-Ignace-de-Loyola","46.0652616","-73.1297152"," 450-836-7007 ","J0K 2P0"
"Compo-Haut-Richelieu - Lacolle","45.0735401","-73.3682962","  ","J0J 1J0"
"Best Buy - Dix30","45.45169","-73.4448456"," 450-766-2300 ","J4Y 0K7"
"IGA Extra Marché d'alimentation Martin Lamarre-Électrobac","45.4634417","-73.4545469","  ","J4Z 3L8"
"Garage municipal de Saint-Cyprien","45.1823377","-73.4233238"," 450-245-3658 ","J0J 1L0"
"Best Buy - Greenfield Park","45.4851885","-73.4632411"," 450-766-0568 ","J4V 3R4"
"1-800-Got-Junk - Brossard","45.4274301","-73.4675449"," 800-468-5865 ","J4Y 2R2"
"IGA Marché du Faubourg - Greenfield Park-Électrobac","45.4860899","-73.4648905","  ","J4V 3R4"
"Hôpital Pierre Boucher-Électrobac","45.538096","-73.4581842","  ","J4M 2A5"
"Supermarché Metro Plus Collin - Brossard-Électrobac","45.4565423","-73.467274","  ","J4W 3M7"
"Marché Sabrevois Boucherville - Metro Groupe Messier-Électrobac","45.6011946","-73.4454724","  ","J4B 6B6"
"Bureau en Gros - Longueuil","45.5213891","-73.4627181"," 450-670-1698 ","J4L 1M9"
"IGA Extra Supermarché Picard inc.-Électrobac","45.436484","-73.4731436","  ","J4Y 3D8"
"Mail Champlain - Cominar-Électrobac","45.4715857","-73.4716105","  ","J4W 2T5"
"Mail Champlain 2- Cominar-Électrobac","45.4715857","-73.4716105","  ","J4W 2T5"
"Metro Plus Marché Central C.J.C. - Metro Groupe Messier-Électrobac","45.5222297","-73.4662565","  ","J4L 1M5"
"IGA Supermarché du Carrefour inc.-Électrobac","45.6689256","-73.4315596","  ","J3X 1T6"
"Renaissance - Librairie Chambly-Rémillard (Rive-Sud)","45.5232769","-73.4670803"," 450-396-4853 ","J4L 1M5"
"Metro Groupe Messier - J.C. Messier Boucherville-Électrobac","45.6132845","-73.4503326","  ","J4B 1S9"
"Garage municipal de Saint-Philippe","45.3569439","-73.4767279"," 450-659-0204 ","J0L 2K0"
"Entreposage St-Sulpice","45.8098419","-73.3747383"," 450-589-9717 ","J5W 3X1"
"Bureau en Gros - Greenfield-Park","45.492456","-73.479883"," 450-466-7772 ","J4V 2H7"
"Rubanco BuroPlus","45.5655036","-73.4690714","  ","J4G 1R7"
"Le Mac Urbain","45.4938086","-73.4805845"," 450-640-8777 ","J4V 2H6"
"Consultants ISM","45.9758198","-73.2732441"," 514-357-2154 ","J5T 2Y5"
"Ateliers Municipaux La Prairie","45.3993576","-73.4942536"," 450-444-6684 ","J5R 5W6"
"IGA Supermarché DJS Cousineau Inc.-Électrobac","45.5657722","-73.4796734","  ","J4G 1R3"
"Garage municipal Berthierville","46.0838917","-73.1783713"," 450-836-7007 ","J0K 1A0"
"Fleet Informatique","46.077649","-73.185503"," 450-836-4877 ","J0K 1A0"
"Renaissance - Centre de don Chambly Leblanc","45.533081","-73.4915369"," 450-396-3411 ","J4J 3W5"
"IGA Marchés Louise Ménard - Saint-Lambert-Électrobac","45.4934553","-73.5015005","  ","J4R 2L1"
"Écocentre Marie- Victorin","45.5581765","-73.4948284"," 450-463-7311 ","J4G 2H4"
"Le Papetier le libraire","45.7362046","-73.4494214"," 450-654-2000 ","J6A 2T2"
"Renaissance - Fripe-Prix Saint-Lambert","45.5017521","-73.5123403"," 450-465-4764 ","J4P 2J1"
"Garage municipal-Travaux publics de Candiac","45.3948138","-73.5185432"," 450-444-6040 ","J5R 3L8"
"Bureau en Gros - Candiac","45.3692136","-73.5180661"," 450-659-1012 ","J5R 0B4"
"Municipalité de Saint-Mathieu","45.3108075","-73.5150697"," 450-638-1221 ","J0L 2H0"
"Garage municipal Sainte-Geneviève-de-Berthier","46.0899782","-73.2051823"," 450-836-7007 ","J0K 1A0"
"Metro Plus Drouin Longueuil-Électrobac","45.5360152","-73.5138633","  ","J4H 1G1"
"Place Longueuil - Cominar-Électrobac","45.5287746","-73.5155384","  ","J4K 2V1"
"Metro Plus Marquis L'Assomption-Électrobac","45.8344341","-73.4107227","  ","G5W 0M6"
"Galeries Rive-Nord - Cominar-Électrobac","45.7425868","-73.4585954","  ","J6A 5N4"
"Micro Informatique-extreme","45.7881749","-73.4381463"," 514-642-1888 ","J6A 0B7"
"Université de Sherbrooke - Campus Longueuil-Électrobac","45.524863","-73.5205131","  ","J4K 0A8"
"Terminus Longueuil - Agence Métropolitaine de Transport (AMT)-Électrobac","45.5248602","-73.5220261","  ","J4K 2T4"
"Garage Municipal Delson","45.3734745","-73.5312553","  ","J5B 1X6"
"MD Informatique inc.","45.7495187","-73.465722"," 514-312-3005 ","J6A 6Y5"
"Renaissance - Fripe-Prix Pointe-aux-Trembles","45.6423974","-73.5056194"," 514-640-0245 ","H1B 4A4"
"IGA Marchés Louise Ménard - Île des Soeurs-Électrobac","45.4681014","-73.5397376","  ","H3E 1V7"
"IGA Alimentation Hochelaga G.S. inc.-Électrobac","45.594277","-73.524409","  ","H1L 2K9"
"Koncas Recyclage","45.6275074","-73.5183789"," 514-256-9208 ","H1B 1B4"
"CGL Micro inc.","45.7563613","-73.4781084"," 450-654-4659 ","J5Z 2H9"
"Renaissance - Centre de don Île-des-Sœurs","45.4675492","-73.550349"," 514-768-9835 ","H3E 1A8"
"Metro Plus Fogarty Charlemagne-Électrobac","45.7210628","-73.4950321","  ","J5Z 3L6"
"Renaissance - Fripe-Prix Pie-IX","45.550617","-73.542459"," 514-227-2841 ","H1V 2C8"
"Bureau en Gros - Place Versailles","45.5905577","-73.5394172"," 514-351-6776 ","H1N 1E9"
"Métro Plus Dorion Ste-Catherine-Électrobac","45.5241071","-73.5514721","  ","H2K 2H6"
"Écoparc de Repentigny","45.7580433","-73.4849965"," 450-470-3001 ","J5Z 4P1"
"Goyette Info Plus","45.3844334","-73.5590291","  ","J5C 1L8"
"Metro Plus Domaine-Électrobac","45.5820434","-73.5427435","  ","H1N 1C6"
"Collège Maisonneuve 2-Électrobac","45.5787742","-73.5449234","  ","H1N 1C1"
"Palais de justice de Montréal - SQI-Électrobac","45.507119","-73.5563989","  ","H2Y 1B6"
"1100 René-Lévesque - Oxford Properties-Électrobac","45.4970659","-73.557547","  ","H3C 5H5"
"Biodôme de Montréal - Espace pour la vie-Électrobac","45.5596023","-73.5497097","  ","H1V 1B3"
"Écoparc de la MRC de L'Assomption","45.824788","-73.4564612"," 450-589-9999 ","J5W 3P3"
"Renaissance - Centre de don Cadillac","45.5766117","-73.5465787"," 514-256-4764 ","H1N 1B8"
"D.V. Services Techniques","45.4943114","-73.5597284"," 514-933-4455 ","H3C 3R9"
"Tour Telus - Redbourne Properties-Électrobac","45.5019855","-73.5665081","  ","H3B 3C1"
"Microbytes - Centre-Ville","45.5024766","-73.5671148"," 514-871-8515 ","H3B 1R2"
"1 place Ville-Marie - Ivanhoé Cambridge-Électrobac","45.5015101","-73.5691094","  ","H3B 2B6"
"5 place Ville-Marie - Ivanhoé Cambridge-Électrobac","45.5006913","-73.5695399","  ","H3B 5M1"
"700 de la Gauchetière (Tour Aon) - Bell Canada-Électrobac","45.5010146","-73.5644801","  ","H3B 5M2"
"Immobilière Banque Nationale-Électrobac","45.5019318","-73.5641893","  ","H3B 4L2"
"1000 de la Gauchetière 2- Ivanhoé Cambridge-Électrobac","45.4984362","-73.5669913","  ","H3B 2B6"
"1000 de la Gauchetière - Ivanhoé Cambridge-Électrobac","45.4983339","-73.5662653","  ","H3B 4W5"
"Best Buy - Montréal Centreville","45.5051276","-73.5678883"," 514-393-2600 ","H3B 1A7"
"Tour KPMG - Oxford-Électrobac","45.5041009","-73.5710036","  ","H3A 0A3"
"Place Montréal Trust - Ivanhoé Cambridge-Électrobac","45.5023402","-73.5723526","  ","H3A 3J5"
"Tour Bell Média - Redbourne-Électrobac","45.5025534","-73.5725184","  ","H3A 3J6"
"2001 University - Conseillers immobiliers GWL-Électrobac","45.5045579","-73.5717904","  ","H3A 2A6"
"Centre de Commerce Mondial - Ivanhoé Cambridge-Électrobac","45.502246","-73.5604787","  ","H2Y 3Y9"
"1250 René-Lévesque - Oxford Properties-Électrobac","45.4974973","-73.5709588","  ","H3B 4W8"
"2001 McGill College - Cominar-Électrobac","45.5038266","-73.5738797","  ","H3A 1G1"
"Domtar inc.-Électrobac","45.5065086","-73.5699322","  ","H3A 1L6"
"Bureau en Gros - Notre Dame","45.4987433","-73.5607597"," 514-875-0977 ","H3C 1J2"
"Loto-Québec-Électrobac","45.5061379","-73.5720164","  ","H3A 3C6"
"Palais des Congrès de Montréal-Électrobac","45.5047546","-73.5600245","  ","H2Z 1H2"
"Complexe Desjardins 2-Électrobac","45.5076071","-73.564444","  ","H2X 3Y2"
"Complexe Desjardins-Électrobac","45.5076071","-73.564444","  ","H2X 3Y2"
"IGA Marchés Louise Ménard - Complexe Desjardins-Électrobac","45.5076071","-73.564444","  ","H2X 3Y2"
"Pavillon PK - Université du Québec à Montréal (UQAM)-Électrobac","45.508659","-73.56849","  ","H2X 3Y7"
"Place des arts-Électrobac","45.5087977","-73.5672214","  ","H2X 1Y9"
"École de Technologie Supérieure (ÉTS) - Pavillon B-Électrobac","45.4949129","-73.5638835","  ","H3C 1K3"
"École de Technologie Supérieure (ÉTS) - Pavillon A-Électrobac","45.4951636","-73.5628144","  ","H3C 1K3"
"Maison du développement durable-Électrobac","45.5091382","-73.5638449","  ","H2X 3V4"
"Students' Society of McGill University (SSMU)-Électrobac","45.5038145","-73.5784967","  ","H3A 0E7"
"École de Technologie Supérieure (ÉTS) - Pavillon Maison des étudiants-Électrobac","45.493704","-73.563767","  ","H3C 1K5"
"Metro Plus de la Montagne  Alimentation Sylvain Bolduc-Électrobac","45.493124","-73.5642363","  ","H3C 1K6"
"Pavillon LB - Concordia-Électrobac","45.4969265","-73.5785488","  ","H3G 1M8"
"Pavillon Henry F. Hall - Concordia-Électrobac","45.4972727","-73.5790238","  ","H3G 1M8"
"Pavillon EV - Concordia-Électrobac","45.4953688","-73.5779964","  ","H3G 2W1"
"1600 René Lévesque - Bentall Kennedy-Électrobac","45.4934673","-73.5749939","  ","H3H 1P9"
"Pavillon JMSB - Concordia-Électrobac","45.4952779","-73.5790443","  ","H3H 1J5"
"Tour Transat - Redbourne-Électrobac","45.5112197","-73.5766469","  ","H2X 4C2"
"Coop UQAM","45.512765","-73.5613079"," 514-987-3000 ","H2X 1L5"
"Pavillon R - Université du Québec à Montréal (UQAM)-Électrobac","45.5132394","-73.5612439","  ","H2X 1L7"
"Pavillon J - Université du Québec à Montréal (UQAM)-Électrobac","45.5146176","-73.5600687","  ","H2L 2C4"
"Place Dupuis - Busac-Électrobac","45.5161422","-73.5597293","  ","H2L 4L8"
"Hôpital général de Montréal-Électrobac","45.4970513","-73.5891739","  ","H3G 1A4"
"Microbytes - Montréal","45.5193507","-73.5731653"," 514-375-1651 ","H2W 2M2"
"Cartouches Certifiées - Boutique","45.51949","-73.572794"," 514-544-0935 ","H2W 2M4"
"Complexe Alexis Nihon - Cominar-Électrobac","45.4889878","-73.5859141","  ","H3Z 1X5"
"Bureau en Gros - Atwater","45.48823","-73.5857968"," 514-846-0844 ","H3Z 1P2"
"Westmount Square - Cogir-Électrobac","45.487238","-73.58772","  ","H3Z 2P9"
"Buroplus Le Plateau - Mont-Royal","45.525742","-73.581112"," 514-524-3081 ","H2J 1X1"
"Supermarché PA-Électrobac","45.5194828","-73.5948783","  ","H2V 4E9"
"Renaissance - Librairie Plateau","45.5299583","-73.5773856"," 514-528-9909 ","H2J 1Y5"
"Travaux Publics - Voirie de Westmount","45.478393","-73.5957259","  ","H3Z 2L2"
"Cepsum - Université de Montréal-Électrobac","45.5088535","-73.6122036","  ","H3T 1J4"
"Pavillon Marie-Victorin - Université de Montréal-Électrobac","45.510392","-73.611875","  ","H2V 2J7"
"Cartouches Certifiées - Entrepôt","45.527108","-73.597604"," 514-544-0935 ","H2T 1A8"
"Metro Beaulieu Laurier-Électrobac","45.5329459","-73.5846197","  ","H2J 1H2"
"Pavillon Roger-Gaudry - Université de Montréal-Électrobac","45.5027205","-73.6152322","  ","H3T 1J4"
"Pavillon André-Aisenstadt - Université de Montréal-Électrobac","45.5010087","-73.6157778","  ","H3T 1N8"
"Polytechnique Ancien Pavillon-Électrobac","45.5041639","-73.6158487","  ","H3T 1J4"
"Renaissance - Centre de don Outremont","45.5220347","-73.6070749"," 514-279-0380 ","H2V 1V1"
"Metro Lebel Mont-Royal-Électrobac","45.53737","-73.5707771","  ","H2H 1K6"
"Pavillon Jean-Brillant - Université de Montréal-Électrobac","45.4983621","-73.6180784","  ","H3T 1N8"
"HEC Montréal - Édifice Decelles-Électrobac","45.497399","-73.6183991","  ","H3T 2B1"
"Écocentre La Petite-Patrie","45.5340579","-73.5923294"," 514-872-0384 ","H2S 2A8"
"Site Glen - Centre universitaire de santé McGill (CUSM)-Électrobac","45.4733308","-73.6008526","  ","H4A 3J1"
"HEC Montréal - Édifice Côte-Sainte-Catherine-Électrobac","45.5036701","-73.6214166","  ","H3T 2A7"
"Bureau en Gros - Mtl-Sherbrooke","45.4757081","-73.6071761"," 514-488-2800 ","H4A 1T5"
"Renaissance - Librairie NDG","45.4745815","-73.6082646"," 514-486-0185 ","H4A 3J8"
"CHUSJ-Électrobac","45.5032186","-73.6239156","  ","H3T 1C5"
"Renaissance - Fripe-Prix Verdun","45.4611769","-73.5672565"," 514-766-5059 ","H4G 1V9"
"Complexe récréatif Gadbois - Arrondissement Sud-Ouest-Électrobac","45.46607","-73.595561","  ","H4C 1X3"
"Metro Wilderton (Alimantation Normand Hudon)-Électrobac","45.508551","-73.6257812","  ","H3S 1P6"
"Buroplus Le Plateau - Beaubien","45.5356561","-73.6036457"," 514-270-2226 ","H2S 1S8"
"Renaissance - Librairie Beaumont","45.5219227","-73.624671"," 514-737-0302 ","H3P 3E5"
"Campus avenue du Parc - Université de Montréal-Électrobac","45.5299706","-73.6200993","  ","H3N 1X7"
"CIPC","45.5468316","-73.5858045"," 514-495-4636 ","H1Y 1K4"
"Renaissance - Fripe-Prix Saint-Hubert","45.5393554","-73.6103832"," 514-274-9666 ","H2S 2M9"
"Renaissance - Fripe-Prix Masson","45.5503814","-73.5733738"," 514-376-8836 ","H1Y 1Y3"
"Les boutiques Ninja Tech","45.4815549","-73.630883"," 514-484-1777 ","H3X 1V6"
"Renaissance - Fripe-Prix Côte-des-Neiges","45.5029798","-73.6370751"," 514-733-6330 ","H3S 2B2"
"Renaissance - Fripe-Prix Saint-Laurent","45.5350042","-73.6191374"," 514-906-0804 ","H2R 2X9"
"Tour Jean-Talon - Bell Canada-Électrobac","45.5392086","-73.6130456","  ","H2R 3A8"
"Collège de Maisonneuve-Électrobac","45.550452","-73.5534702","  ","H1X 2A2"
"Écocentre Côte-des-Neiges","45.5036307","-73.6382204"," 514-872-0384 ","H3S 2B6"
"Marché Plus St-Joseph - Metro Groupe Messier-Électrobac","45.551681","-73.5642156","  ","H1X 1W6"
"Metro Marcanio-Électrobac","45.5453064","-73.6040227","  ","H2G 1A9"
"Bureau en Gros - TMR (Ville Mont-Royal)","45.5002152","-73.6471315"," 514-344-3044 ","H4P 2T6"
"Jardin botanique - Espace pour la vie-Électrobac","45.5576037","-73.5569701","  ","H1X 2B2"
"Renaissance - Centre de don Somerled","45.4707928","-73.6352022"," 514-487-4960 ","H3X 2B6"
"Provigo Cavendish-Électrobac","45.4642483","-73.629027","  ","H4B 1N3"
"Cyberlogic Informatique","45.5429333","-73.6297544"," 514-844-9946 ","H2R 2X2"
"Renaissance - Centre de don Jarry","45.5514826","-73.6205666"," 438-384-4693 ","H2E 1A9"
"Carrefour Angrignon - Wescliff-Électrobac","45.4479126","-73.6127113","  ","H8N 1X1"
"Centre Rockland - Cominar-Électrobac","45.527778","-73.648797","  ","H3P 3E9"
"Voirie ville de Hampstead","45.48536","-73.6537896","  ","H3X 1A6"
"Best Buy - Carrefour Angrignon","45.44708","-73.612797"," 514-368-6570 ","H8N 1X1"
"Bureau en Gros - Lasalle","45.445738","-73.6128073"," 514-364-3872 ","H8N 1X1"
"Renaissance - Fripe-Prix Saint-Jacques","45.4557971","-73.631939"," 514-484-0145 ","H4B 1V3"
"Centre Le Boulevard - Crofton Moore-Électrobac","45.5665938","-73.5887649","  ","H1S 1J7"
"Best Buy - Montréal Marché Central","45.5320243","-73.6522448"," 514-905-4269 ","H4N 3K1"
"Place Youville - Société de transport de Montréal (STM)-Électrobac","45.54303","-73.642987","  ","H2N 1M3"
"Microbytes - LaSalle","45.4434334","-73.6155422"," 514-363-0880 ","H8N 2K3"
"Écocentre St-Michel","45.5580873","-73.6202501"," 514-872-0384 ","H1Z 4N1"
"Écocentre LaSalle","45.4471208","-73.6296304"," 514-872-0384 ","H8N 2W7"
"Bureau en Gros - Marché Central","45.5342104","-73.6556396"," 514-383-6323 ","H4N 1J8"
"Cégep André Laurendeau-Électrobac","45.4365531","-73.6049955","  ","H8N 2J4"
"Centre Claude Robillard - Ville de Montréal-Électrobac","45.5529232","-73.6370506","  ","H2M 2E7"
"Renaissance - Centre de distribution et de liquidation","45.4877106","-73.6697005"," 514-904-2737 ","H4P 1M7"
"Fugitek","45.4420703","-73.6300498"," 514-366-2581 ","H8N 2X2"
"Metro Plus André-Grasset - Metro Groupe Messier-Électrobac","45.5583826","-73.636785","  ","H2M 2E9"
"Travaux Publics de Côte Saint-Luc","45.4728003","-73.6689685"," 514-485-6868 ","H4W 1A5"
"Renaissance - Fripe-Prix Décarie","45.5118285","-73.6783167"," 514-747-2635 ","H4L 2H5"
"Renaissance - Centre de don Lajeunesse","45.5511605","-73.654876"," 514-388-2223 ","H3L 2C6"
"Renaissance - Librairie Bélanger","45.5825952","-73.5725658"," 438-387-3217 ","H1T 1G6"
"Renaissance - Centre de don Lasalle","45.4320038","-73.6310863"," 514-367-4746 ","H8N 2Y7"
"Écocentre Acadie","45.5398852","-73.6770668"," 514-872-0384 ","H3M 3G1"
"MultiRecycle","45.4398403","-73.6531142"," 514-333-7221 #123 ","H8S 2K9"
"Centre des loisirs - Arrondissement St-Laurent-Électrobac","45.5143342","-73.6909283","  ","H4L 5K3"
"GPC Micro","45.5891873","-73.57738"," 514-251-8222 ","H1S 1M8"
"1-800-Got-Junk - Lachine","45.443534","-73.663314"," 800-468-5865 ","H8S 4L8"
"IGA Marché Dama inc.-Électrobac","45.5568401","-73.6682794","  ","H2C 0A5"
"6700, aut. Côte-de-Liesse - Bentall Kennedy-Électrobac","45.4830811","-73.6942503","  ","H4T 2B5"
"Renaissance - Centre de don Marcel-Laurin","45.51584","-73.696559"," 438-387-3353 ","H4R 0B7"
"Renaissance - Centre de don Fleury","45.5745039","-73.648398"," 514-384-3743 ","H2B 1L1"
"Bureau en Gros - Jean-Talon","45.5955151","-73.5719339"," 514-593-6813 ","H1S 1K3"
"Place Vertu 1 - 20 Vic-Électrobac","45.4986251","-73.7055367","  ","H4R 1Y8"
"Place Vertu 2 - 20 Vic-Électrobac","45.4986251","-73.7055367","  ","H4R 1Y8"
"Best Buy - Galeries d'Anjou","45.600578","-73.559813"," 514-356-2168 ","H1M 3X8"
"Bureau en Gros - Saint-Laurent","45.4937089","-73.7082737"," 514-338-1036 ","H4R 1P8"
"Garage municipal de Sainte-Catherine","45.4009337","-73.5817857"," 450-632-0590 ","J5C 1B2"
"Metro Plus Cardinal Ste-Catherine-Électrobac","45.4000636","-73.574501","  ","J5C 1A9"
"Éco-quartier Montréal Nord","45.5909838","-73.6370701"," 514-326-5447 ","H1H 4A9"
"LML Technologie inc.  AMJ Montréal","45.455018","-73.698697"," 514-898-7979 ","H8T 3H2"
"Infotronix","45.6011598","-73.6073639"," 514-852-5744 ","H1P 3H6"
"Ramasse.ca inc.","45.599485","-73.6193979"," 514-334-0404 ","H1G 6P7"
"Carrefour De La Technologie","45.6055528","-73.5918684"," 514-327-9696 ","H1P 2Y8"
"Ordinateur en Gros Laval","45.556672","-73.699293"," 450-786-1220 ","H7N 2J3"
"Entreprises Century Laser","45.488976","-73.719775"," 514-636-8001 ","H4S 1M5"
"Renaissance - Fripe-Prix Des Laurentides","45.5681775","-73.6893836"," 450-663-8060 ","H7G 2T9"
"Metro Plus de la Concorde - Metro Groupe Messier-Électrobac","45.5734284","-73.684744","  ","H7G 2C6"
"Ordi Occasion","45.610615","-73.547031"," 514-680-4486 ","H1K 1N6"
"Renaissance - Fripe-Prix Montréal-Nord","45.6049204","-73.6221078"," 438-387-3961 ","H1G 2T2"
"Bureau en Gros - Anjou","45.6116472","-73.598143"," 514-354-6052 ","H1J 2V7"
"Renaissance - Centre de don Concorde","45.5901185","-73.6705568"," 450-668-2555 ","H7E 2B4"
"L'Entraide (Pont-Viau et Laval des Rapides) inc.","45.5740828","-73.6938383"," 450-663-8039 ","H7G 3A5"
"Shopper + inc.","45.459825","-73.719921"," 514-631-5216 ","H8T 2Y3"
"Écocentre Saint-Laurent","45.5111241","-73.7364134","  ","H4R 1E6"
"IGA Brouillette et Fils-Électrobac","45.605415","-73.6510749","  ","H7C 1M4"
"Kahnawà:ke Mohawk Territory, Transfer Depot","45.410785","-73.681487","  ","J0L 1B0"
"Campus de Laval - Université de Montréal-Électrobac","45.558749","-73.720937","  ","H7N 0B6"
"Air Canada-Électrobac","45.4696804","-73.7380418","  ","H4S 1Z3"
"1-800-Got-Junk - Ville Saint-Laurent","45.494594","-73.744479"," 800-468-5865 ","H4S 1A9"
"CRC Ordinateur","45.581892","-73.704389"," 450-662-3775 ","H7M 2Y4"
"Metro Plus Dépatie-Électrobac","45.562201","-73.723959","  ","H7N 6L2"
"Microbytes - Laval","45.5762974","-73.7131554"," 450-629-8707 ","H7M 1Y9"
"Best Buy - Centre Laval","45.5626616","-73.7297366"," 450-781-2030 ","H7S 1Y8"
"Bureau en Gros - Centre Laval","45.5634723","-73.7306972"," 450-973-1070 ","H7S 1Y9"
"Conseil régional de l'environnement de Laval","45.607322","-73.67612"," 450-664-3503 ","H7E 5G8"
"Renaissance - Centre de don Dorval","45.4392951","-73.7369828"," 514-636-4746 ","H9S 2B9"
